batch,time,Rc,C,I,mI,m1,P1
batch 8,35.0,17.831358,166.482818,178.431964,8.614359,0.409057,20.728378
batch 8,40.0,5.787171,212.12794,558.367286,9.028036,0.41125,22.620469
batch 8,45.0,4.476034,239.894372,725.436633,7.754582,0.330211,24.152212
batch 8,50.0,7.727206,251.447735,414.990895,5.951237,0.250662,25.146626
batch 8,55.0,68.617243,159.115683,40.379261,5.943981,0.193609,25.696072
batch 8,60.0,16.312029,187.259516,195.793752,8.480582,0.235861,26.174796
batch 8,65.0,6.912537,221.867918,467.246254,8.488753,0.23205,26.821811
batch 8,70.0,6.735562,241.88915,479.226485,7.189539,0.187922,27.274971
batch 8,75.0,22.361974,230.759776,133.843247,5.920256,0.145003,27.447423
batch 8,80.0,35.331924,176.446488,88.580297,7.440956,0.138676,27.433788
batch 8,85.0,10.97541,210.088181,292.493282,8.445115,0.166147,27.545546
batch 8,90.0,7.802847,233.086165,413.022328,7.727631,0.149126,27.677367
batch 8,95.0,13.748558,237.40141,228.630791,6.505764,0.119657,27.653185
batch 9,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 9,5.0,24.899806,100.50976,121.335132,8.178218,0.641643,1.58965
batch 9,10.0,5.282112,175.529786,605.461491,9.766909,0.917241,6.50871
batch 9,15.0,2.999027,220.54599,1083.012497,9.089127,0.77906,11.401619
batch 9,20.0,2.810162,247.752993,1160.250173,7.297114,0.595078,15.113411
batch 9,25.0,5.062543,260.561455,639.178248,5.18161,0.444363,17.717358
batch 9,30.0,97.731622,130.950246,24.794323,5.005051,0.334004,19.46786
batch 9,35.0,17.392901,168.239265,182.882524,8.596876,0.413659,21.018907
batch 9,40.0,5.95439,212.703499,542.545683,8.927713,0.410229,22.908423
batch 9,45.0,4.762813,239.740231,681.246548,7.657915,0.32879,24.423474
batch 9,50.0,8.925644,249.499723,357.439899,5.92316,0.249702,25.402725
batch 9,55.0,64.657168,157.544487,44.344554,6.218751,0.195961,25.943653
batch 9,60.0,15.354248,190.367136,208.03503,8.470028,0.237148,26.439341
batch 9,65.0,7.150837,223.063913,451.427007,8.346991,0.228093,27.066331
batch 9,70.0,7.557542,241.226474,425.979987,7.061634,0.184102,27.48812
batch 9,75.0,29.03429,220.160237,100.477056,6.007411,0.142809,27.635706
batch 9,80.0,30.129521,181.532857,104.395966,7.621189,0.143106,27.623925
batch 9,85.0,10.775653,212.695158,297.852968,8.335069,0.164058,27.738095
batch 9,90.0,8.559212,233.279042,375.67348,7.554461,0.145026,27.843247
batch 9,95.0,17.461608,231.61531,177.455393,6.478212,0.116776,27.792625
batch 10,0.0,100.0,100.0,25.0,0.0,0.0,0.0
batch 10,5.0,25.634308,99.043883,117.500251,8.105425,0.644907,1.594267
batch 10,10.0,5.480614,174.372156,583.092007,9.689963,0.928554,6.559595
batch 10,15.0,3.114061,219.655216,1042.599572,9.037181,0.790822,11.521917
batch 10,20.0,2.932478,247.005821,1111.442669,7.285214,0.604576,15.293278
batch 10,25.0,5.426433,259.538148,595.44205,5.210747,0.451604,17.941138
batch 10,30.0,95.866376,128.808203,26.150787,5.189238,0.34065,19.723219
batch 10,35.0,17.039846,169.876032,186.625254,8.573643,0.417952,21.31141
batch 10,40.0,6.140707,213.195928,525.91715,8.829159,0.409323,23.197952
batch 10,45.0,5.083603,239.479572,637.707632,7.567119,0.327559,24.697247
batch 10,50.0,10.409944,247.070962,304.453818,5.907706,0.248937,25.662388
